playlist_id,title
10021,I Wish U Were Here...'Cuz You're So Far Away
10024,i live to break hearts and waste money
10031,Gotta Get It Going On (or something along those lines)
10032,"chick singers, baby!"
10033,random songs for a random world
10066,Diamonds
10067,NA
10086,5 March 2001 - Sides A & B Vol. 1
10107,OMMix 1-01:A Long Drive In A Silent Car
10118,Indie Extravaganza
10150,NA
10176,Falling Up
10208,HyperRandomMixofGroupsICantName
10211,NA
10215,sorrow and joy
10225,building the fight against gravity #2
10229,Holding Hands & Secret Makeout Spots
1023,dead man
10240,What I Heard In 2000 (1/3)
10241,What I Heard In 2000 (2/3)
10255,Rule Britannia
10259,NA
10290,Stage 10 on the experimental tip
10303,"Kind of about you, kind of about me"
10311,a few years ago...
10321,Another Dimension (Beastie Boys)
10328,All Along The Watchtower
10338,sliver (the second one)
10359,NA
10369,Amber's Headbangers & Tear-Jerkers
10373,i like birds
10387,Songs that you probably dont know but are going to love!
10391,Never the Same
10393,NA
10398,Back To The Ville Disc 2
10401,"for Stephen, March, NYC"
1041,Out My Window
10417,Twenty songs for someone who is not a teen-ager (notice the AP style).
10422,Cash In On The Indie Cred
10443,"soft, dark, and heavy"
10477,Jar's Big 80's CD mix #1
10489,RadioZilla! vol. 1
10495,Heartbreak Mix
10497,"More Songs About Food, No Buildings Involved"
10502,NIN - falling apart
10510,I Got Screwd Over-Breakup Songs
10534,Rockin' Winter Mix 1994 Part 1
10535,Rockin' Summer Mix 1995
10536,Caesar
10537,Rockin' Fall Mix 1995
10546,Jar's Big 80's CD mix #2
10555,NA
10569,Radio Mix (Winter '96)
10595,NA
10611,NA
10623,Rock Snob Encyclopedia Hh HAWKWIND
10624,Car-Tunes
10631,old testament
10641,"Fuck The 70's, Here's Some 60's Garage Punk!"
10650,Nelly Furtado (mix)
1067,we're all just porn stars
10684,The Zep Album - Black Crowes w/Jimmy Page
10690,The Stereotypical Industrial/Powerdance Compilation Vol. I
10694,Love & Tones Is Dead
10697,I Got Just One Word For You:
10744,The Wonder
10754,shift (both stone in you and star)
10767,the scorched earth
10777,NA
10784,compLeteLy incompLete
10785,Pong Choolie
10805,no soul honkey tape
10808,Sonic Confections
10822,we'll be so fucked up that we won't even make it to bed
10835,NA
10837,Y2K Jam
10838,Truly Trivial Canadian Rock of the 80s:  The Music of Honeymoon Suite and Frozen Ghost
10846,from e to eels
10847,Motion Picture Soundtrack
10853,In Room 138 / Moments of Truth
10855,Black Monday
10858,Definitive Music 2:43 AM Jan 1 2001
10860,It's time for spring!
10869,the time spent standing in line
10877,frustration can be gorgeous
10887,season cycle
10934,"i dunno, i haven't got a title..."
10937,Diner Music For A Pack Of Hungry Cannibals
1095,Hip Hop and R & B Mix
10969,Xenophobe
11003,The challenge was given to me to make a nongoth happy bouncy mixed genre mix!
11006,Like A Boot On Ray Bradbury's Butterfly
1101,all i know
11026,Great Lyrics
11030,Planet 606 MIx-up
1104,second generation harmonic distortion
11044,you're so precious.
11059,Rubber on Asphalt
11091,Pauls Favourites
11093,Steele Retchless
11094,lay me down- jocelyn's lullaby
11096,this boy needs to rock
11099,hip hop g`s
11111,Low Impedance
11118,Ahem....It's Soul Coughing
11119,Add Tori To Taste
11140,Ani For Anybody - The Sequel
11144,Waves Become Wings
11149,NA
11161,NA
11162,"lispers should stick to saying ""help""."
11168,NA
11175,goodnight moon
11211,southern california 1965-1972
11255,NA
1126,NA
11263,manchmal
11293,Its fun to eat indie rock
11312,Baggys bag of bongs
11329,NA
11341,Fuck Modest Mouse. I Want to Dance.
11343,Flatulance is a State of Mind
11352,Unwanted Epiphany
11358,this is a little something for me
11373,dont stop till u get enough!!!
11410,urk
11418,"see?  eightysixed!: the sweet, serrated sounds of my youth, volume 001"
11429,Please Be Quiet
11468,TRANS AM - rough justice: 1996-2000
11469,NA
11475,"A Gram in Here, and More on the Table"
11479,Alternate History 1957-1991
11508,annagroove
11512,NA
11515,Fashion Show - The Gap
11522,"heroes: covers collected, spring 2001"
11534,NA
1154,TV Tunes
11547,Emotional Ketchup Burst
11548,Disillusion Dance Party
1155,Headphones Only!
11557,"Unusual Pussycat-Classic, Current & Collaborative Tom Jones"
1157,Based On A True Story (Part 2)
11573,All This Useless Booty
11585,Over Under Around Through
11586,"my mix, volume 1"
11588,fresh emocore
11596,it's been evening all day long
11622,times table
11659,Fairy-tale Endings
11661,Soothing the Beast
11665,"Two Discs, Alphabet Mix"
11668,post punk
11674,"Faceless, Tuneful"
11682,the road to patti smith again
11693,All That Shimmers... Is Sure To Fade Away
11694,Dru Hill: The Golden Child Mix
11724,So Now What?
11758,for my car 4/01
11777,Radio Mix 10/23
11810,more action than my man john woo
11845,you were sorry that i was alone so sorry you run away
11846,"bitter tobacco, orange waves (SPLIZASH)"
11889,80s Prom Mix
11908,File Under: Modern Rock (1990's-2001) Vol. 2
11921,NA
11936,Ignorance Is Bliss
11938,down in santa monica where trix are for kids
11944,NA
