	Z_0	Z_1	Z_2	Z_3	Z_4	Z_5	Z_6	Z_7	Z_8	Z_9	Z_10	Z_11	Z_12	Z_13	Z_14	Z_15	Z_16	Z_17	Z_18	Z_19	Z_20	Z_21	Z_22	Z_23	Z_24	Z_25	Z_26	Z_27	Z_28	Z_29	Z_30	Z_31	Z_32	Z_33	Z_34	Z_35	Z_36	Z_37	Z_38	Z_39	Z_40	Z_41	Z_42	Z_43	Z_44	Z_45	Z_46	Z_47	Z_48	Z_49	Z_50	Z_51	Z_52	Z_53	Z_54	Z_55	Z_56	Z_57	Z_58	Z_59	Z_60	Z_61	Z_62	Z_63	Z_64	Z_65	Z_66	Z_67	Z_68	Z_69	Z_70	Z_71	Z_72	Z_73	Z_74	Z_75	Z_76	Z_77	Z_78	Z_79	Z_80	Z_81	Z_82	Z_83	Z_84	Z_85	Z_86	Z_87	Z_88	Z_89	Z_90	Z_91	Z_92	Z_93	Z_94	Z_95	Z_96	Z_97	Z_98	Z_99	Z_100	Z_101	Z_102	Z_103	Z_104	Z_105	Z_106	Z_107	Z_108	Z_109	Z_110	Z_111	Z_112	Z_113	Z_114	Z_115	Z_116	Z_117	Z_118	Z_119	Z_120	Z_121	Z_122	Z_123	Z_124	Z_125	Z_126	Z_127	Z_128	Z_129	Z_130	Z_131	Z_132	Z_133	Z_134	Z_135	Z_136	Z_137	Z_138	Z_139	Z_140	Z_141	Z_142	Z_143	Z_144	Z_145	Z_146	Z_147	Z_148	Z_149
Z_0	0.074959851274	0.00650156944771	0.00864183279569	0.00529095764504	0.00659371211793	0.00631658450838	0.00550721304985	0.00334351457654	0.00768062985594	0.0117235340003	0.00319615951284	0.00444578019956	0.00370684570087	0.00660443262463	0.0050982326137	0.00494247308811	0.00954731119178	0.000460652556804	0.00641288750249	0.00387313507274	0.00650645924879	0.00424817785507	0.00191070763221	0.00233169490848	0.0104831378222	0.00593714428441	0.00170913978692	0.0052893406341	0.00490401377576	0.00525075775711	0.00715735844412	0.00517544703406	0.00706723336676	0.0070922570726	0.00658565354228	0.00452674401592	0.00652608582068	0.00476880611941	0.00691523586316	0.0117570472974	0.00597995673115	0.00768506339145	0.00332266595094	0.0146491521722	0.00772133149746	0.0040152184486	0.00499404006045	0.00283584318836	0.00322472754206	0.0029920058966	0.00754492677701	0.00448227192682	0.00637062625084	0.00982292714472	0.00794679072811	0.00479948043788	0.00315414304365	0.00604082296412	0.00182840300299	0.00298032192453	0.00869019713848	0.00855066063268	0.00633670179896	0.00486046725758	0.00963199950118	0.00491154998954	0.00753040846111	0.00246717979777	0.0156074548727	0.00608875294661	0.0109095599983	0.00441828020433	0.00533747477478	0.00622636855917	0.00876133730029	0.0105321334555	0.00570926760778	0.00437506994004	0.0107558991183	0.00744439167769	0.00965237926693	0.00884209364496	0.00409837645871	0.00403842426903	0.00213838126243	0.00494336072027	0.00686627258693	0.00246302202191	0.0059935131366	0.00837724453843	0.00480281703861	0.00802252832878	0.0109273190577	0.00523105729058	0.0098473193028	0.00339451398477	0.00535006889269	0.00710912944364	0.00413502813042	0.0084241775556	0.00664081213304	0.0104113225885	0.00415684294037	0.00862684225492	0.00536057788827	0.00862330203661	0.0100615445619	0.00720178717576	0.00528110444095	0.0124476613523	0.00997796397379	0.00207513599858	0.00662561343302	0.00575358240819	0.00310673888976	0.00575572362586	0.00641930281291	0.00972403820361	0.00589383547964	0.00638400086722	0.0074471912818	0.00444206155248	0.00886394179549	0.00373491108225	0.005019560643	0.00648342988363	0.0121242355355	0.00356460250153	0.006765180562	0.00928271106334	0.00470091601077	0.00365663703015	0.00481112891893	0.00439217598293	0.00988598333363	0.00618756318464	0.00613562770392	0.00968371233961	0.00495394934714	0.00699501565012	0.0107897162067	0.00691599357623	0.00433996987353	0.00631438665469	0.0116483563897	0.00429573382917	0.00761941853405	0.00568320546078	0.00260940194782	0.00475058638779
Z_1	0.0057832312503	0.0839557171065	0.00662120362799	0.00661364610263	0.00534240783146	0.00889906096476	0.00659139651563	0.00234883881724	0.00736682789482	0.00087074155791	0.00593456707371	0.00327767654998	0.00593942668052	0.00292656673907	0.00665409664783	0.0103803866288	0.00283767276397	0.00602681745416	0.00667540450783	0.00690006782333	0.00927633679332	0.00549468660679	0.00277944335572	0.0135259637322	0.00927587825441	0.00748199219998	0.00520120841464	0.000611419422065	0.00650234329443	0.00886092508282	0.00546357527992	0.0049887091432	0.00299130911727	0.0038103764153	0.00238561282493	0.00483407805812	0.00648183698894	0.00163896267306	0.00448698296776	0.00493165136155	0.00833298338819	0.00398273938951	0.00527319758558	0.00390661805284	0.005113135325	0.0102419099341	0.0105311455895	0.00703914728692	0.00452931071307	0.00295474463264	0.00531278409041	0.00507811754792	0.00964611555804	0.00680318084926	0.00997675405178	0.00198092857725	0.00568944978179	0.0053525973366	0.00532541262021	0.00348678658243	0.00426069877815	0.00483072927508	0.00484187260825	0.00486953062153	0.00383346364085	0.00227119294686	0.0101845149945	0.0071982047432	0.0029135845541	0.00500605556541	0.00579082260086	0.00412351712866	0.00403159597706	0.00840625752247	0.00377286596162	0.0101306189082	0.00320943023813	0.00333275740436	0.00472726739975	0.00785082387682	0.00533922631863	0.00579157987422	0.00474621151182	0.00395541370134	0.00574679488983	0.00701246309036	0.00910475441269	0.00547929780045	0.0027862252502	0.00499422039201	0.0127180609064	0.00472375509493	0.00688660424371	0.00535845674793	0.00252118974573	0.00778212730171	0.00615638500127	0.00728841485624	0.00640969031229	0.00863090551355	0.00289728329938	0.00408477260164	0.00969014857599	0.00412806210528	0.00409345346581	0.00202661295049	0.00439876715528	0.00449025009306	0.00604349559246	0.00100435516756	0.00906999844166	0.00525003157188	0.00274756198687	0.007322851073	0.00670389538477	0.00451314470326	0.00559697174272	0.00387623429892	0.0104192906789	0.00299042511439	0.00382340910031	0.00520642692627	0.00799506869308	0.0101690442323	0.0105059827423	0.00617487697371	0.00777652586787	0.00486420440404	0.00285596497292	0.0051537295351	0.00398072909818	0.00510339163891	0.00516149931437	0.00332720172732	0.00449667256419	0.00379158454247	0.00866900956044	0.00350544008209	0.00577607486759	0.00726034820013	0.00440431950508	0.00611446084037	0.00590728340155	0.00523752756713	0.00464757624472	0.00335278853378	0.00575745677922	0.00673355834202	0.00385789961992	0.00659740252301
Z_2	0.00859328317324	0.00740180868729	0.0746697214932	0.00619925466536	0.00897365315758	0.0070042707648	0.00846339635203	0.00424883197721	0.00540952827159	0.00466651184407	0.0027783007104	0.00709720322091	0.00547678035858	0.0071413773424	0.00275668114962	0.00817129108362	0.00705911042059	0.00245287748471	0.00270935599008	0.0024391623722	0.00864554071013	0.00553205956237	0.00313689428756	0.0142318205893	0.0125175790082	0.00476507148905	0.00898612808913	0.00525677639952	0.00661642333621	0.00755699616607	0.00472515964783	0.00360377957721	0.00286241730744	0.00287691966456	0.00613289668189	0.00503431715051	0.00580095559305	0.00366020174945	0.00350867759555	0.00713856532316	0.00765115695485	0.00358788322991	0.00250390180855	0.00530350572915	0.00879592754475	0.00803689159409	0.00497426937379	0.00381885463552	0.00416495853474	0.011396978006	0.00826322608647	0.00945482570288	0.00366710984566	0.0046045941759	0.0116950785316	0.00541097900996	0.00227095280053	0.0140633582072	0.00668700557658	0.00210521090223	0.0033049735585	0.00866669337227	0.00711321503311	0.00284626564215	0.0113974458388	0.0144206793486	0.00700930430004	0.00137742951725	0.0169657638865	0.0075000908919	0.0103337400868	0.00339233777603	0.00589779485292	0.00328794081415	0.00692220059028	0.00466879402902	0.0034360051756	0.00533751315895	0.00908841912278	0.00596222585392	0.00656759166181	0.00445711993859	0.0110657116019	0.00870557222006	0.00762561369378	0.00611329489844	0.00610791518555	0.00216539757143	0.00712026856038	0.00522672416913	0.00472887671177	0.00349516472154	0.00803449924029	0.0065742452731	0.00189649613537	0.00206966284215	0.00712148898926	0.00666849029712	0.00383899406854	0.00747827825232	0.00956668919144	0.00398262939164	0.00689276381122	0.00183782049608	0.00365317421788	0.00900022393225	0.00657647893942	0.00447341759121	0.00635533714939	0.00640122861161	0.00993539202503	0.00481202594284	0.00541492423503	0.00270630656205	0.00294007202878	0.00850795228645	0.013830603028	0.00558299172579	0.0073716796121	0.00321371002713	0.00810799447662	0.00882945167632	0.00532567277121	0.011795466029	0.0110357653354	0.00875526045301	0.00223737168154	0.00120954956002	0.00266822242461	0.0119030492472	0.00500425979922	0.00440940117171	0.0174284765042	0.00803217810939	0.00553861161762	0.0112468989316	0.00758592565398	0.0036047598728	0.0130266619974	0.00167909041173	0.0102160137288	0.00033852751113	0.00830748545468	0.00368254859534	0.00338485386568	0.00547552793988	0.00377182784585	0.00411481643292	0.00469647359893	0.00678259380662
Z_3	0.00508288627698	0.00714273779084	0.00598911043942	0.0696056034197	0.00378662225579	0.00603387859146	0.00639153279313	0.00656533185772	0.00517694143079	0.00782913806112	0.00835517642451	0.00617898137041	0.0091116468368	0.00473557855404	0.00608501846999	0.00961196658569	0.00215320513418	0.00326237569798	0.00735209971331	0.00565693491223	0.00829013417292	0.0087762184637	0.0093805467282	0.00480950276793	0.00697212491544	0.00368007411946	0.00204879683586	0.00591955593735	0.00559531404568	0.0029842640107	0.00568083094965	0.00611363361502	0.00886334345914	0.00713480958458	0.0039021864658	0.00462384698667	0.00758565294539	0.00917706475741	0.00476867850497	0.00955983599015	0.00393292607414	0.0046954964535	0.00277403945401	0.00735588933057	0.00468054847804	0.00362247326422	0.0050187145869	0.00841489591053	0.00316248545876	0.00482990945482	0.00797284725329	0.00915556295695	0.00355615640767	0.00940861204452	0.00905080154966	0.0062668107984	0.00898290086698	0.00629777936571	0.0118402998851	0.0082429345348	0.00142928356876	0.00151433958581	0.00704603558572	0.00837883092536	0.00639856135303	0.00748277403179	0.00598417804804	0.00333094221351	0.00815590503758	0.00164330052062	0.00391550262472	0.00506055765137	0.00574816040497	0.0047523386425	0.00756960969467	0.00374380593453	0.0103334714298	0.00773635919315	0.00545951367117	0.00213823276138	0.00330811739665	0.0052343701379	0.00631530921558	0.00617008221768	0.00508626436675	0.0108613618063	0.00340001664374	0.00843005703145	0.00381787939744	0.00768367316392	0.00383908076812	0.0049543615502	0.00530648034692	0.00375008373065	0.00376130775726	0.00559081352761	0.00730176815603	0.007061782641	0.0103681810065	0.0050929258191	0.00629647168515	0.00513481549553	0.00427622961342	0.0100426547577	0.00942995836027	0.00754983848733	0.00602743657887	0.00686133670198	0.00564658140614	0.0067404559236	0.00402216474202	0.00910295450575	0.00491330694977	0.00179266379228	0.00858468774214	0.00964746364589	0.00334670679773	0.00638811991715	0.00399066693553	0.00322576419972	0.00255580461783	0.00516553203111	0.00677878876185	0.00290489474888	0.00585421304092	0.00927307971363	0.00483135403139	0.00424726157169	0.00537944062253	0.00607047377839	0.00549555917642	0.00993734513473	0.00503094699556	0.00793692011627	0.00686635837727	0.00656404115746	0.00677385411427	0.0131611748912	0.00365437109567	0.00679608270329	0.0048301173242	0.00834869636212	0.00657214051924	0.00431409974277	0.00583014695474	0.00678893825535	0.00854888552046	0.00616313820542	0.00988886848693	0.00572583175001
Z_4	0.00581580226132	0.00529741913393	0.00795968104938	0.00347660639859	0.0738803354933	0.0103931354272	0.00575887421462	0.00851634805523	0.00772486678395	0.00846780334001	0.00351688144535	0.00443189335103	0.001352592271	0.00452319581845	0.00734779285038	0.00332055445646	0.0039507450803	0.00793164154581	0.00414943922651	0.00527696729286	0.00481367209366	0.00236980073555	0.00562783049557	0.00449985343175	0.00489989886551	0.00413416645971	0.00583410104512	0.00386392112056	0.00919357654954	0.00423017251387	0.00819880452092	0.00703234175141	0.00751822277579	0.00697352330404	0.00417520834523	0.00438968550094	0.00585527571616	0.00626922372751	0.00904109828448	0.00318719798951	0.00521318645871	0.00901887357481	0.0111766363268	0.00409821337347	0.00144165121916	0.0019173369673	0.00422324543825	0.00216804681784	0.00666547312037	0.00665116763396	0.00771061973563	0.00434344367964	0.00283913936774	0.00437826795466	0.00206276442604	0.00885058777896	0.0045678864853	0.00229722068893	0.00852658210212	0.00859595688218	0.00584520183964	0.00242874115349	0.00774676563633	0.00806175281699	0.0065953275292	0.00923360874571	0.00710987606889	0.00289134140759	0.0045024037456	0.00620631999142	0.00186752094525	0.00802758089492	0.00291453650538	0.00610078528256	0.00408107751225	0.00373271939375	0.0036888319312	0.00584263043322	0.0031282757784	0.0087579279468	0.00844876320174	0.00607506880218	0.00617798238566	0.00351400707273	0.00579936855384	0.00800834595658	0.00368340898401	0.00555902281288	0.00426452355739	0.00565765243782	0.00517945945399	0.0062850192171	0.00394788846082	0.00509493179141	0.00434189042234	0.00474934033168	0.00187440965964	0.00305880659317	0.00304232059331	0.00499703466341	0.00568913604719	0.00368786158519	0.00559456975701	0.00278935590172	0.00654616967508	0.00442832751386	0.00657713715566	0.00703271374961	0.00585107789142	0.00488728951035	0.00749273228348	0.00685443564771	0.00776369923942	0.00366527896145	0.00670733847225	0.00281482732788	0.00501011328555	0.00241880704456	0.0040007111029	0.00518584655829	0.0083461706635	0.00558528375416	0.00738771347509	0.00711900273292	0.00669001351766	0.00394283910934	0.00150635540808	0.00474611260053	0.0025996003377	0.00520161538836	0.00368751597412	0.00813711030535	0.00547545891061	0.0136938413041	0.00283946305969	0.00723563544908	0.00172039167194	0.00975195014942	0.0084543846227	0.00680052922342	0.00823871996382	0.00162955931602	0.00674321810189	0.00468371840601	0.00935671927477	0.0128503761902	0.00888125908022	0.00546898507189	0.00461000363903	0.0108492489653
Z_5	0.00608000830957	0.00962972070713	0.00678002857459	0.00604564053803	0.0113419779397	0.0644965445388	0.00517671158308	0.00338665248214	0.00462211304265	0.00466215545959	0.00229585580164	0.0032679250023	0.00874815929707	0.00524274894063	0.00345214108252	0.00788202584253	0.00669581782035	0.00413555053874	0.0042758486611	0.00286556042601	0.0012161894285	0.0067531779735	0.00480599556475	0.00463949522027	0.00967178890126	0.00455436488245	0.00312406569016	0.00599980448151	0.0075549785017	0.00991282574168	0.00779197453693	0.00407623567676	0.00877576850303	0.00663516861335	0.00545533785086	0.00792958470384	0.00758413923854	0.00526881193698	0.00542164954079	0.0058902274343	0.0117234826925	0.0071329489387	0.00795894589844	0.00688937275932	0.00886192440868	0.00981882717041	0.0100274020961	0.00153133066668	0.0095104145044	0.00441794590884	0.00868945824	0.00929932771249	0.00716493375932	0.011278178031	0.00472994896558	0.00465665424138	0.0099659965685	0.0119684031745	0.00671632281138	0.00616578850111	0.0044094243356	0.00889840431828	0.00438044341432	0.00617386898766	0.00195054867767	0.00728967720811	0.00770554092106	0.00231687988622	0.00470479975588	0.0115028498347	0.00563524051435	0.010006240561	0.00672500202947	0.0115367126247	0.00321841353626	0.0111887162995	0.00479407557707	0.00417257324742	0.00316221368582	0.00775595878491	0.00159213618658	0.00993548607658	0.00507908564054	0.00450737851769	0.00666599135567	0.0031374771767	0.00128209600742	0.00376644950621	0.00317944934456	0.0103829556708	0.00799127520411	0.00551118978839	0.00670125105969	0.00466749858296	0.00492212578626	0.00596144321165	0.00599580846139	0.00480714573985	0.00568436112842	0.00306514269255	0.00848015657883	0.00601527807992	0.00775238868505	0.0044667798673	0.0046341931929	0.00730299907921	0.00498735180504	0.00512433865222	0.010440000397	0.00648856169303	0.00449477849547	0.00863206909532	0.00404036715207	0.00197659433426	0.00583370458839	0.00932369580497	0.00309018563355	0.00337602456347	0.00560326795821	0.00550799003693	0.00518767390063	0.000680195775647	0.00891042761957	0.00478464994398	0.00418288063527	0.00476406506841	0.00857105047917	0.0105636591688	0.00244691132937	0.00653126499711	0.0102802217456	0.00627324634702	0.0090705374227	0.00356651956637	0.00775134291929	0.00655806191998	0.00456738537093	0.00442636288543	0.00331395353293	0.00707480692764	0.00367855568269	0.00276404119454	0.0067860666157	0.00671428143544	0.00829953085803	0.0049885326922	0.00748385337345	0.00909029357755	0.00833933206486	0.00737852623842
Z_6	0.005734101977	0.00771540307935	0.00886186134035	0.00692727530796	0.00679816149327	0.00559971136225	0.0672998503264	0.0034987462022	0.00657424990418	0.0171831260269	0.00418122362257	0.00361762161147	0.0083104033867	0.0133465887674	0.00493236277766	0.0136351041243	0.00957212435696	0.00291271689404	0.00423055167399	0.00403643569012	0.0134785031868	0.00841195631794	0.00131059934548	0.0134188799126	0.00709093854739	0.00359928683765	0.0044090999595	0.00894647934591	0.00740349797375	0.0197827647424	0.011716132914	0.00294162499441	0.00102535401142	0.00533114086927	0.00388959828994	0.0100011778108	0.00396439734243	0.00407865969568	0.00721755517439	0.00421768440313	0.0060076823134	0.00205607327701	0.00216797884374	0.00348552074957	0.00970245740201	0.00981344640256	0.00226532532731	0.00352166545606	0.00737789971473	0.0092277213713	0.0029041266507	0.0176371329973	0.00458649065505	0.00116433115885	0.00854578479678	0.00246927583706	0.00406889452209	0.0111999162212	0.00612634098286	0.00146865496587	0.00438305208082	0.00768286477832	0.00595670870027	0.00170560449552	0.0161686371542	0.0153941955112	0.0105376143324	0.00495202935753	0.00611742223032	0.00319756201446	0.00443521415333	0.00278355661691	0.00339690365846	0.00473341563667	0.00414061935916	0.00641162270505	0.00533671124957	0.00875912801376	0.0113570597015	0.00172405667511	0.00847616912423	0.00582143946211	0.00351745192623	0.0131251205691	0.00368006844523	0.00050339890172	0.010312580739	0.00132041446796	0.0100332128755	0.00103266060633	0.0119324488995	0.00141506570332	1.26661167299e-05	0.0116936659755	0.00318195689865	0.00326092461377	0.00857252806876	0.013766975275	0.00299570797527	0.0138122262754	0.00924742170012	0.00236684503877	0.0136001036533	0.00212966325336	0.00476909349138	0.0185795334064	0.00754548324797	0.00712347414306	0.00613875039434	0.0112413748619	0.0118101167392	0.000966494350537	0.00597625434481	0.00839346267268	0.00141173828522	0.00430759444598	0.0138536144802	0.00512015834661	0.00964311971071	0.000778423508351	0.00699422636442	0.00509920426931	0.0134582841079	0.000534034608464	0.00125879526546	0.00272845464943	0.00726642062601	0.00312667539243	0.0112238053492	0.0172706087788	0.00655081258801	8.30016309991e-06	0.0057580788817	0.00404604486858	0.00925098504695	0.00981042280401	0.00442245898357	0.00515344240303	0.00919225622077	0.00853630143163	0.00497547499416	0.000496182301108	0.0165315966882	0.00679361188922	0.00411110575069	0.00172214731003	0.0031727457817	0.00547403563554	0.00340476941946	0.00338642928999
Z_7	0.00319324425849	0.00252191115115	0.00408079907415	0.00652693810417	0.0092215233719	0.0033602972099	0.00320928158835	0.077435327148	0.00483538558566	0.00142579440117	0.00572535884776	0.00721436683752	0.0057043479781	0.00406765117056	0.00404879518649	0.00830193917245	0.00268945703367	0.00637462305206	0.00502801109115	0.00752460315977	0.00159654660323	0.00434530281597	0.0109412690391	0.000481859820524	0.00303112536495	0.00703946131658	0.00708144076686	0.00207779610779	0.00646862958557	0.00366630492034	0.00686959322382	0.0109800836693	0.0104794844707	0.00910441023169	0.00454411353944	0.00473823025683	0.00148359561608	0.0127839189771	0.00655182100564	0.00460144142238	0.0045956592786	0.00726907417137	0.00703165620993	0.00287835046402	0.00138865787982	0.00142274374348	0.00608740361803	0.00710801848898	0.00234497324936	0.00674457156929	0.0159266243908	0.00186119671636	0.00400766046962	0.00884095834455	0.00419430414874	0.00900172576772	0.00694000560274	1.00722500863e-05	0.00803017737973	0.010085778508	0.00936761628141	0.0042875708014	0.00374641660466	0.00435961251543	0.00138333871767	8.28172648865e-06	0.00137559824215	0.00778771633666	0.00678912720709	0.00634079244242	0.00181476231648	0.0137624438656	0.00405933382105	0.0090347379561	0.00723456028462	0.00205072623238	0.00852979142239	0.00538894786863	0.00333086017225	0.00948981624692	0.00607969867798	0.00306807651751	0.00516236939354	0.00464408962789	0.00637464038563	0.00979769091015	0.00245993020331	0.00870298511577	0.00926022076167	0.0126706950299	0.0034953018572	0.00677507654526	0.00933695559262	0.00796810802922	0.00563613659495	0.0117531932248	0.00369617404412	0.000844858146011	0.00664977484423	0.00462748347757	0.0044612098966	0.00345345330527	0.00202589919347	0.0162072784649	0.0130928407968	0.00417354702949	0.00314081833462	0.0134258865802	0.00670145503155	0.00271295674055	0.0036891432255	0.0136618452788	0.00463804550459	0.0120452680234	0.0155576327589	0.00872607788362	7.72735369656e-06	0.00572500414883	0.0104352503411	0.00436218497917	0.00258815178523	0.00620159998351	0.00022217119946	0.00518015524169	0.0080690338274	0.00559293947222	0.0007743620097	0.0155608791843	0.00408241815513	0.00116813399308	0.00355867120671	0.0155953390448	0.00505128885316	0.00402115366169	0.00742058576098	0.00488491927006	0.00916345772444	0.00394023259877	0.0015947056846	0.00523988120269	0.00872877886545	0.00754810663573	0.00185382885991	0.00549979713218	0.00205062772293	0.0208014951969	0.00975899593543	0.00711254592303	0.00711271684843	0.0117315263125
Z_8	0.00716283458475	0.00772353745605	0.00507334289878	0.00502556887434	0.00816769354227	0.00447823403743	0.00588844685662	0.00472161180717	0.0750552785386	0.00580447335385	0.0109615294778	0.00490242097296	0.00295049877401	0.00430341556565	0.00704723432729	0.00385899538383	0.0042240648865	0.00712406911033	0.00750080915863	0.00807795963411	0.00484112107995	0.0034725938677	0.00390171569455	0.000787207282723	0.00895870803805	0.00643884490267	0.0085277955838	0.00284297519147	0.00406202169776	0.00568567875433	0.00841155948999	0.00569482462666	0.010308077181	0.00583395162572	0.0052662181279	0.00573241402889	0.00653352905025	0.0023227082231	0.00497205484775	0.00489812663039	0.00666201994479	0.00955679036016	0.0110992595584	0.00716475569963	0.0042883117854	0.0015243197322	0.00266502110106	0.00538132612179	0.00605250750053	0.0046278101045	0.00531498857638	0.0067416255289	0.00491344557605	0.0069572477738	0.00339634819728	0.00539205189346	0.00962040233617	0.00574049800607	0.00463039983308	0.0068932140916	0.00425555688464	0.00577142048191	0.00377888111947	0.00953800236643	0.00497044227898	0.0041693423042	0.00381648836817	0.00797822342537	0.00862641878537	0.00712107000503	0.00414412145075	0.00424068716406	0.00685200759513	0.00623302343666	0.00606194094462	0.00618237201	0.00718085998523	0.00282937696374	0.0054267739261	0.00570306745756	0.00540726086645	0.00721488666805	0.00262677317739	0.00395197563948	0.00861942041399	0.00874917697482	0.00456527150866	0.00847501251019	0.00579370593372	0.00557530816086	0.00497360740392	0.00841026237079	0.00605715453519	0.00874905998502	0.0121910598474	0.00566791189723	0.00683489992032	0.000765752938798	0.00902681004535	0.00684326941366	0.00536320924012	0.00187428854791	0.00329474122483	0.00532411184182	0.00603480543658	0.00828305501397	0.00299678623881	0.0051346684338	0.00308075596863	0.0084439835098	0.00690305901626	0.000300264518899	0.00672017313417	0.00982821040388	0.00361147451022	0.00684532961541	0.00412132660958	0.00658609241825	0.00654448884747	0.00713840498692	0.00605233809041	0.00412544110345	0.00334795083684	0.00696490388687	0.0110642164669	0.00726656999996	0.00532968784933	0.0106137100396	0.0054440772496	0.00464594081524	0.00769898888585	0.00831773973347	0.00457690407495	0.00669385463718	0.00834508242365	0.00637195442413	0.00274250300501	0.00563807946723	0.00833264235336	0.00499715347173	0.00960832372047	0.00400260968981	0.00529030900149	0.00617199190444	0.0050058965877	0.000948235615927	0.00695988866017	0.00575550496387	0.00503406218853	0.0109470475935
Z_9	0.019670948435	0.00164249354924	0.00787418947699	0.013674284021	0.0161086025322	0.00812702585952	0.0276907930217	0.00250492506558	0.0104433898093	0.0958119290039	0.00390183637581	0.0246058548898	0.0196062089924	0.0130440491994	0.0244638783384	0.0186377872164	0.0189538050441	0.00747272731831	0.0029947494851	0.00719696258083	0.0117579846995	0.02244408184	6.91375320486e-06	0.00847247914324	0.0120753954649	0.00352199173786	0.00391433385429	0.012058050525	0.0127860116444	0.00634256477087	0.0172944385525	0.014656455035	0.00203190033588	0.00664508374553	0.00193933850242	0.0243806101267	0.00776211553182	0.00647660518021	0.00561859891288	5.597403796e-05	0.00424747738477	0.00560711338096	0.00420352884627	0.00715488692646	0.00297610493976	0.0140372084179	7.03994224486e-05	0.00463191382867	0.00395517949319	0.00386149081095	0.00158458031421	0.00466839927936	0.00650299482126	0.00160201106523	0.0137273220152	0.00298766165338	5.05061818453e-06	0.016046924787	0.0038021040085	0.0109141325532	0.0154111522629	0.0123818325122	0.0193224403448	6.88614669616e-06	0.0255030142825	0.0266869626919	0.0153602459428	0.00188351235501	0.0152694613909	0.00535556174332	0.0183992367128	0.0132429844454	0.0148845901495	0.0125538360928	0.00513122953132	0.00733408331595	0.0196583900422	0.00200015651315	0.00899572248609	0.00132390934422	0.0160976496186	0.00424499478409	0.0049639319939	0.00865990631299	0.0171315811553	0.00476132530476	0.0193814818956	0.00546961668745	0.016105836606	0.00250555327498	0.00702692041125	0.00364317903391	0.00482763287427	0.0270217902654	0.00788944289346	0.00313804120791	0.0108202806348	0.0171167688256	0.00935734736302	0.0254372291117	0.0173034234355	0.010434256976	0.0133175873715	0.000599922616215	0.0143337265269	0.0459415080248	0.0248635736036	0.00450297219523	0.018447435653	0.0293985528132	6.56143723645e-06	6.85769865757e-06	0.004776938847	0.00548255769926	4.95252354176e-06	0.00420230758642	0.0321072732631	0.00619335692833	0.003126703838	0.00825326757458	0.00732232754427	0.00592424557773	0.0214905373706	0.00601160039769	0.00854926776526	0.00351007248669	0.0268142063914	0.00349663971986	0.022949108895	0.0188179819611	0.0215648709605	5.27755101087e-06	0.00239718547732	0.00217099155377	0.00990339458791	0.0123670357202	0.00299221879318	0.0151871853536	0.0160919709361	0.00758640506425	0.00761633534749	8.4085639389e-06	0.0145056758616	0.0179954172902	0.0195800808397	0.000909278396211	0.00922360386372	0.00636246813902	0.00522277527689	0.00599893645251
